O9G_000001	PITH domain-containing protein
O9G_001911	Endophilin-B1-like protein
O9G_001912	Phospholipase C/P1 nuclease domain-containing protein
O9G_001913	Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2 domain-containing protein
O9G_001914	hypothetical protein
O9G_001915	hypothetical protein
O9G_001916	hypothetical protein
O9G_001917	Adenylyl cyclase class-3/4/guanylyl cyclase domain-containing protein
O9G_001918	Dynein heavy chain-2 domain-containing protein
O9G_001919	hypothetical protein
O9G_001920	Derlin domain-containing protein
O9G_001921	hypothetical protein
O9G_001922	hypothetical protein
O9G_001923	Protein kinase, catalytic domain-containing protein
O9G_001924	hypothetical protein
O9G_001925	hypothetical protein
O9G_001926	Helicase, superfamily 1/2, ATP-binding domain-containing protein
O9G_001928	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_001929	hypothetical protein
O9G_001930	hypothetical protein
O9G_001931	Zinc finger, C2H2 domain-containing protein
O9G_001932	hypothetical protein
O9G_001934	Peptidase S8/S53 domain-containing protein
O9G_001935	hypothetical protein
O9G_001936	Acyltransferase ChoActase/COT/CPT domain-containing protein
O9G_001937	hypothetical protein
O9G_001938	DAD/Ost2 domain-containing protein
O9G_001939	CLASP domain-containing protein
O9G_001940	hypothetical protein
O9G_001941	hypothetical protein
O9G_001942	hypothetical protein
O9G_001943	hypothetical protein
O9G_001944	hypothetical protein
O9G_001945	Cation-transporting P-type ATPase, subfamily  V domain-containing protein
O9G_001946	Cytochrome P450 domain-containing protein
O9G_001947	Flavoprotein pyridine nucleotide cytochrome reductase domain-containing protein
O9G_001948	hypothetical protein
O9G_001949	Aromatic amino acid beta-eliminating lyase/threonine aldolase domain-containing protein
O9G_001950	hypothetical protein
O9G_001951	Chloramphenicol acetyltransferase-like domain-containing protein
O9G_001952	hypothetical protein
O9G_001953	Serine/threonine-specific phosphatase domain-containing protein
O9G_001954	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial
O9G_001955	hypothetical protein
O9G_001956	EXS domain-containing protein
O9G_001957	Tctex-1 domain-containing protein
O9G_001958	Transcription initiation Spt4-like domain-containing protein
O9G_001959	SGNH hydrolase-type esterase domain-containing protein
O9G_001960	hypothetical protein
O9G_001961	FAS1 domain-containing protein
O9G_001962	Myosin head, motor domain-containing protein
O9G_001963	hypothetical protein
O9G_001964	hypothetical protein
O9G_001965	Aminoacyl-tRNA synthetase, class Ic domain-containing protein
O9G_001966	Septin domain-containing protein
O9G_001967	EF-Hand 1, calcium-binding site domain-containing protein
O9G_001968	Not CCR4-Not complex component domain-containing protein
O9G_001969	hypothetical protein
O9G_001970	MIF4-like, type 1/2/3 domain-containing protein
O9G_001971	hypothetical protein
O9G_001972	Poly A polymerase, head domain-containing protein
O9G_001973	hypothetical protein
O9G_001974	U6 snRNA-associated Sm-like protein LSm6
O9G_001975	Ubiquitin domain-containing protein
O9G_001976	hypothetical protein
O9G_001977	Aspartic peptidase, DDI1-type domain-containing protein
O9G_001978	hypothetical protein
O9G_001979	Mitochondrial carrier domain-containing protein
O9G_001980	hypothetical protein
O9G_001981	hypothetical protein
O9G_001982	Autophagy-related protein 9 domain-containing protein
O9G_001983	hypothetical protein
O9G_001984	Arf GTPase activating protein domain-containing protein
O9G_001985	Pre-mRNA-splicing factor SPF27 domain-containing protein
O9G_001986	hypothetical protein
O9G_001987	Cation-transporting P-type ATPase, subfamily V domain-containing protein
O9G_001988	UMP-CMP kinase domain-containing protein
O9G_001989	hypothetical protein
O9G_001990	26S proteasome non-ATPase regulatory subunit 5 domain-containing protein
O9G_001991	Poly(A) polymerase, central domain-containing protein
O9G_001992	hypothetical protein
O9G_001993	putative Guanine nucleotide exchange factor for Rho/Rac/Cdc42-like GTPases 2
O9G_001994	2-phosphoglycolate phosphatase, eukaryotic domain-containing protein
O9G_001995	FIST domain-containing protein
O9G_001996	hypothetical protein
O9G_001997	hypothetical protein
O9G_001998	XPG domain-containing protein
O9G_001999	EF-Hand 1, calcium-binding site domain-containing protein
O9G_002000	S-adenosylmethionine synthase isoform type-2
O9G_002001	Glyoxal oxidase domain-containing protein
O9G_002002	hypothetical protein
O9G_002003	Protein of unknown function DUF2419 domain-containing protein
O9G_002004	Protein of unknown function DUF2419 domain-containing protein
O9G_002005	Surfeit locus 4 domain-containing protein
O9G_002006	Uroporphyrinogen decarboxylase (URO-D) domain-containing protein
O9G_002007	Mak16 protein domain-containing protein
O9G_002008	Mak16 protein domain-containing protein
O9G_002009	TRAF3-interacting protein 1 domain-containing protein
O9G_002010	Microtubule-binding protein MIP-T3 domain-containing protein
O9G_002011	NAD(P)-binding domain-containing protein
O9G_002012	Pseudouridine synthase, catalytic domain-containing protein
O9G_002013	Vinculin/alpha-catenin domain-containing protein
O9G_002014	hypothetical protein
O9G_002015	Ran-binding and NUP50 nuclear pore complex domain-containing protein
O9G_002016	Nucleotide-binding, alpha-beta plait domain-containing protein
O9G_002017	hypothetical protein
O9G_002018	hypothetical protein
O9G_002019	Protein kinase, ATP binding site domain-containing protein
O9G_002020	hypothetical protein
O9G_002021	hypothetical protein
O9G_002022	AMP-binding domain-containing protein
O9G_002023	AMP-dependent synthetase/ligase domain-containing protein
O9G_002024	Lipase, class 3 domain-containing protein
O9G_002025	DDHD domain-containing protein
O9G_002026	Pyridine nucleotide-disulfide oxidoreductase-like protein 1
O9G_002027	Mitochondrial carrier domain-containing protein
O9G_002028	hypothetical protein
O9G_002029	hypothetical protein
O9G_002030	Tyrosine-tRNA ligase domain-containing protein
O9G_002031	hypothetical protein
O9G_002032	hypothetical protein
O9G_002033	NAD(P)-binding domain-containing protein
O9G_002034	60S ribosomal protein L36-B
O9G_002035	Endonuclease/exonuclease/phosphatase domain-containing protein
O9G_002036	GTP-binding protein ryh1
O9G_002037	Thioredoxin-like fold domain-containing protein
O9G_002038	hypothetical protein
O9G_002039	Sugar transporter domain-containing protein
O9G_002041	RecF/RecN/SMC domain-containing protein
O9G_002042	Protein kinase, catalytic domain-containing protein
O9G_002043	Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2 domain-containing protein
O9G_002044	hypothetical protein
O9G_002045	hypothetical protein
O9G_002046	Protein-tyrosine phosphatase, receptor/non-receptor type domain-containing protein
O9G_002047	Zinc/iron permease domain-containing protein
O9G_002048	DNA repair protein rad10 domain-containing protein
O9G_002049	BolA protein domain-containing protein
O9G_002050	hypothetical protein
O9G_002051	hypothetical protein
O9G_002052	hypothetical protein
O9G_002053	hypothetical protein
O9G_002054	hypothetical protein
O9G_002055	hypothetical protein
O9G_002056	hypothetical protein
O9G_002057	hypothetical protein
O9G_002058	Ribose-phosphate pyrophosphokinase 2
O9G_002059	Tetratricopeptide-like helical domain-containing protein
O9G_002060	Ras-like GTP-binding protein Rho1
O9G_002061	Extradiol ring-cleavage dioxygenase, class III enzyme domain-containing protein
O9G_002062	Patched domain-containing protein
O9G_002063	hypothetical protein
O9G_002064	Erv1/Alr domain-containing protein
O9G_002065	hypothetical protein
O9G_002066	hypothetical protein
O9G_002067	hypothetical protein
O9G_002068	hypothetical protein
O9G_002069	hypothetical protein
O9G_002070	hypothetical protein
O9G_002071	hypothetical protein
O9G_002072	hypothetical protein
O9G_002073	60S ribosomal protein L11
O9G_002074	hypothetical protein
O9G_002075	hypothetical protein
O9G_002076	Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain-containing protein
O9G_002077	hypothetical protein
O9G_002078	26S protease regulatory subunit 10B
O9G_002079	Telomerase ribonucleoprotein complex - RNA-binding domain-containing protein
O9G_002080	FAD-binding, type 1 domain-containing protein
O9G_002081	Vps4 oligomerisation domain-containing protein
O9G_002082	hypothetical protein
O9G_002083	Mitochondrial substrate/solute carrier domain-containing protein
O9G_002084	Temperature dependent protein affecting M2 dsRNA replication domain-containing protein
O9G_002085	Guanine nucleotide-binding protein subunit alpha
O9G_002086	hypothetical protein
O9G_002088	hypothetical protein
O9G_002089	hypothetical protein
O9G_002090	Guanine-nucleotide dissociation stimulator CDC25 domain-containing protein
O9G_002091	Origin recognition complex, subunit 4 domain-containing protein
O9G_002092	SNF2-related domain-containing protein
O9G_002093	Fructose-2,6-bisphosphatase domain-containing protein
O9G_002094	hypothetical protein
O9G_002095	Protein kinase, catalytic domain-containing protein
O9G_002096	hypothetical protein
O9G_002097	hypothetical protein
O9G_002098	Chaperonin Cpn60/TCP-1 domain-containing protein
O9G_002099	hypothetical protein
O9G_002100	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_002101	RNA-dependent RNA polymerase, eukaryotic-type domain-containing protein
O9G_002102	hypothetical protein
O9G_002103	hypothetical protein
O9G_002104	hypothetical protein
O9G_002105	hypothetical protein
O9G_002106	hypothetical protein
O9G_002107	ATPase, dynein-related, AAA domain-containing protein
O9G_002110	hypothetical protein
O9G_002111	hypothetical protein
O9G_002112	Chaperone DnaJ domain-containing protein
O9G_002113	3-hydroxyanthranilic acid dioxygenase domain-containing protein
O9G_002114	Cytochrome P450 domain-containing protein
O9G_002115	DnaJ domain-containing protein
O9G_002116	hypothetical protein
O9G_002117	hypothetical protein
O9G_002118	hypothetical protein
O9G_002119	ATPase, AAA-type domain-containing protein
O9G_002120	Peptidase M48 domain-containing protein
O9G_002121	CAAX prenyl protease 1 domain-containing protein
O9G_002122	hypothetical protein
O9G_002123	hypothetical protein
O9G_002124	hypothetical protein
O9G_002125	SLA1 and SHD1 interacting domain-containing protein
O9G_002126	Small GTPase superfamily, Rab type domain-containing protein
O9G_002127	DNA/RNA helicase, DEAD/DEAH box type domain-containing protein
O9G_002128	NUDIX hydrolase-like domain-containing protein
O9G_002129	Saccharopine dehydrogenase / Homospermidine synthase domain-containing protein
O9G_002131	JmjC domain-containing protein
O9G_002132	hypothetical protein
O9G_002133	Glycosyl transferase, ALG6/ALG8 domain-containing protein
O9G_002134	hypothetical protein
O9G_002135	hypothetical protein
O9G_002136	AP complex, mu/sigma subunit domain-containing protein
O9G_002137	Ribosomal protein L21e domain-containing protein
O9G_002138	40S ribosomal protein S9
O9G_002139	hypothetical protein
O9G_002140	hypothetical protein
O9G_002141	hypothetical protein
O9G_002142	hypothetical protein
O9G_002144	Sybindin-like protein domain-containing protein
O9G_002145	hypothetical protein
O9G_002146	Snf7 domain-containing protein
O9G_002147	Ras-related C3 botulinum toxin substrate 1
O9G_002148	Zinc finger, RING-type domain-containing protein
O9G_002149	Alpha-D-phosphohexomutase, alpha/beta/alpha II domain-containing protein
O9G_002150	Maf-like protein domain-containing protein
O9G_002151	hypothetical protein
O9G_002152	hypothetical protein
O9G_002153	Small GTPase superfamily domain-containing protein
O9G_002154	Succinylglutamate desuccinylase/aspartoacylase domain-containing protein
O9G_002155	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_002156	hypothetical protein
O9G_002157	hypothetical protein
O9G_002158	hypothetical protein
O9G_002159	Calreticulin domain-containing protein
O9G_002160	Peptidyl-prolyl cis-trans isomerase F, mitochondrial
O9G_002161	Fanconi anemia group I protein domain-containing protein
O9G_002162	SNF5/SMARCB1/INI1 domain-containing protein
O9G_002163	Short-chain dehydrogenase/reductase SDR domain-containing protein
O9G_002164	hypothetical protein
O9G_002165	Cysteine-tRNA ligase domain-containing protein
O9G_002166	hypothetical protein
O9G_002167	Choline/ethanolamine kinase domain-containing protein
O9G_002168	hypothetical protein
O9G_002169	Helicase/UvrB domain-containing protein
O9G_002170	hypothetical protein
O9G_002171	GrpE nucleotide exchange factor, coiled-coil domain-containing protein
O9G_002172	hypothetical protein
O9G_002173	Protein kinase, catalytic domain-containing protein
O9G_002174	Adenosylhomocysteinase
O9G_002175	hypothetical protein
O9G_002176	Acyl-CoA N-acyltransferase domain-containing protein
O9G_002177	Thiolase-like, subgroup domain-containing protein
O9G_002178	Tetrapyrrole methylase domain-containing protein
O9G_002179	hypothetical protein
O9G_002181	hypothetical protein
O9G_002182	Heat shock protein 70 domain-containing protein
O9G_002183	Protein of unknown function DUF339 domain-containing protein
O9G_002184	Arfaptin/BAR adaptor protein Hob3-like protein
O9G_002185	hypothetical protein
O9G_002186	Adenylate kinase domain-containing protein
O9G_002187	hypothetical protein
O9G_002188	LAS seventeen-binding protein 3-like protein
O9G_002189	hypothetical protein
O9G_002190	hypothetical protein
O9G_002191	Transcriptional activator NFYC/HAP5 subunit domain-containing protein
O9G_002192	Aldose 1-/Glucose-6-phosphate 1-epimerase domain-containing protein
O9G_002193	hypothetical protein
O9G_002194	Fumarylacetoacetase-related domain-containing protein
O9G_002195	hypothetical protein
O9G_002196	Tyrosine 3-monooxygenase-like domain-containing protein
O9G_002197	hypothetical protein
O9G_002198	hypothetical protein
O9G_002199	hypothetical protein
O9G_002200	hypothetical protein
O9G_002201	hypothetical protein
O9G_002202	Alkaline phosphatase-like, alpha/beta/alpha domain-containing protein
O9G_002203	Peptidase C65, otubain domain-containing protein
O9G_002204	hypothetical protein
O9G_002205	hypothetical protein
O9G_002206	Succinyl-CoA synthetase-like domain-containing protein
O9G_002207	hypothetical protein
